# cavity/meanfield/v3 quadrupolar amplitudes b2[k] for U2(r) P2(cos theta)
# Seeded exactly from stationary-validated v2 update-80 U2 field.
# SHA256 of source frozen file: 87e9a3ee6683b96b5d00578007a886642dde0a5056dbcb25c6353e78a7b9aa23
# active physical coefficients k=68..79 (17-20 A); k=80 is copy/Neumann ghost.
# columns: k  b2[k]
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
50 0
51 0
52 0
53 0
54 0
55 0
56 0
57 0
58 0
59 0
60 0
61 0
62 0
63 0
64 0
65 0
66 0
67 0
68 -0.599574
69 -1.91367
70 -4.02116
71 -6.96724
72 -10.7159
73 -15.1525
74 -20.0841
75 -25.2193
76 -30.1748
77 -34.5117
78 -37.7674
79 -39.5349
80 -39.5349
