# cavity/meanfield/v3 scalar amplitudes a[k]
# Seeded exactly from the stationary-validated v2 update-80 U0 field.
# SHA256 of source frozen file: 424247e39cdd664a75cf52858e611a60a32d66d4fa5d2b5a2382b3f1cd1f3506
# columns: k  a[k]
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0.185178
21 0.185178
22 0.185178
23 0.185178
24 0.185178
25 0.185178
26 0.185178
27 0.185178
28 0.338748
29 0.338748
30 0.338748
31 0.338748
32 0.470121
33 0.470121
34 0.470121
35 0.579809
36 0.579809
37 0.579809
38 0.704983
39 0.704983
40 0.787383
41 0.787383
42 0.867163
43 0.867163
44 0.969432
45 0.969432
46 1.48103
47 2.29648
48 3.30423
49 4.41757
50 5.58481
51 6.75937
52 7.91557
53 8.97664
54 9.87082
55 10.5755
56 11.1088
57 11.6084
58 12.3296
59 13.4218
60 14.77
61 16.0379
62 16.7347
63 16.387
64 14.6913
65 11.4501
66 6.67926
67 0.768769
68 -5.54182
69 -11.5158
70 -16.683
71 -21.0724
72 -25.2305
73 -29.7077
74 -34.6641
75 -39.8055
76 -44.5836
77 -48.5202
78 -51.3826
79 -53.4884
80 -66.4884
